Fecha,Feriado,place_id_dataGoogleMaps,place_name_dataGoogleMaps,review_id_hash_dataGoogleMaps,rating_dataGoogleMaps,review_text_dataGoogleMaps,published_at_dataGoogleMaps,response_from_owner_text_dataGoogleMaps,response_from_owner_ago_dataGoogleMaps,response_from_owner_date_dataGoogleMaps,review_likes_count_dataGoogleMaps,total_number_of_reviews_by_reviewer_dataGoogleMaps,total_number_of_photos_by_reviewer_dataGoogleMaps,is_local_guide_dataGoogleMaps,review_translated_text_dataGoogleMaps,response_from_owner_translated_text_dataGoogleMaps,Ciudad_dataClima,Latitud_dataClima,Longitud_dataClima,Forecast_dataClima,Temperatura Promedio (°C)_dataClima,Temperatura Maxima (°C)_dataClima,Temperatura Minima (°C)_dataClima,Precipitación (mm)_dataClima,Nieve (cm)_dataClima,Humedad(%)_dataClima,Visibilidad (km)_dataClima,Velocidad Viento(m/s)_dataClima,Amanecer (s)_dataClima,Atardecer (s)_dataClima,Forecast Time_dataClima,Usuario_dataTiktok,Descripción_dataTiktok,Vistas_dataTiktok,Hashtags_dataTiktok,Origen_dataTiktok,user,device_timestamp,like_count,comment_count
2022-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vivirenviaje_,699.0,23.0,
2022-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,florenciaprodan1,"📍Villa La Angostura, Bahia Mansa. #patagonia #sur #vacaciones #verano #naturaleza",666.0,#patagonia #sur #vacaciones #verano #naturaleza      ,bahia mansa,,,,
2022-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mairoletto,Una playa hermosa y súper tranquila en Villa La Angostura #viaje #playa #lago #bahiabrava,262.0,#viaje #playa #lago #bahiabrava ,bahia brava,,,,
2022-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-16,Fiesta de los Jardines (VLA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-17,Fiesta de los Jardines (VLA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-18,Fiesta de los Jardines (VLA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-28,Carnival Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01,Carnival Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-24,Memory's National Day for the Truth and Justice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-02,Veterans Day and the Fallen in the Malvinas War,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-15,Good Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,5df92e6e3db72049759bd3810a85c852,4.0,Impresionante!! Para disfrutar en flia,2 years ago,,,,0.0,76.0,67.0,True,Awesome!! To enjoy as a family,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,c564e22dd8c5a4d987423d9c82e3e565,4.0,Super recomendable! Fascinante todo,2 years ago,,,,0.0,26.0,39.0,True,Super recommended! Fascinating everything,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,3348df1d997be824788f34833fa4bcdb,4.0,Lindo y tranquilo lugar!!,2 years ago,,,,0.0,8.0,,False,Nice and quiet place!!,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,1eca94c22af4238cd06d584f3fccf24a,4.0,lindo lugar para pasar una tarde familiar,2 years ago,,,,0.0,377.0,146.0,True,nice place to spend a family afternoon,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,afa7687436bf99046867b6f755bedfeb,4.0,Muy bello paisaje,2 years ago,,,,0.0,151.0,10.0,False,Very beautiful landscape,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,82b1f7f0a1825c3f3eea6683cc6c9e8e,4.0,Muy lindo lugar,2 years ago,,,,0.0,636.0,328.0,True,Very nice place,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,4f207671a61b2b6faab4316349d9d598,4.0,Excelente lugar de descanso y recreacion,2 years ago,,,,0.0,408.0,443.0,True,Excellent place of rest and recreation,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,3e6f05c59761bd2c416ac3d390a5899f,4.0,Hermoso lugar. Agua caribe.,2 years ago,,,,0.0,189.0,24.0,True,Beautiful place. Caribbean water.,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,8974e54a8eb7dbddde0b76a95cabbd81,4.0,"Hermoso, no hay otras palabras.....",2 years ago,,,,0.0,146.0,,True,"Beautiful, there are no other words.....",,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,29f0df53d16674bcf115e34a8b7952cc,4.0,Con visita al lago muy hermoso,2 years ago,,,,0.0,5.0,12.0,True,With visit to the very beautiful lake,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,72ba5d06575f3e1b57c1a7bab7b677a6,4.0,Impresionante Vista del lago Nahuel huapi,2 years ago,,,,0.0,177.0,82.0,False,Stunning View of Lake Nahuel Huapi,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,bfb59b43731ad0cff20d80cd3d991a73,4.0,"Aguas transparentes y no muy profundas en la orilla, una belleza",2 years ago,,,,0.0,12.0,23.0,False,"Transparent and not very deep waters on the shore, a beauty",,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,6d510a21b35834a0d4a8dbadcedcc4e3,4.0,"Muy buen entorno, muy buenas vistas",2 years ago,,,,0.0,43.0,,False,"Very good environment, very good views",,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,28b716222bf2e3eb33d93496c0669747,4.0,"Tranca, para ir a tomar unos mates y comer chambuchitos.",2 years ago,,,,0.0,84.0,38.0,True,"Tranca, to go have some mates and eat chambuchitos.",,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,b1535b930fc5e64ff99cfb9f6569d594,4.0,Muy lindo lugar !!!,2 years ago,,,,0.0,19.0,,False,Very nice place !!!,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,d317af8350c12df8b152e6743e86d8b5,4.0,"Hermoso, como toda la zona.",2 years ago,,,,0.0,200.0,21.0,True,"Beautiful, like the entire area.",,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,5ceb23678788c2a63892751fb782a472,4.0,Espectacular el lugar muy reconfortable,2 years ago,,,,0.0,31.0,32.0,True,"Spectacular, very comfortable place",,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,7c0e9edb55759b552bc94d38af5032aa,4.0,Muy rica comida. Demora en el servicio.,2 years ago,,,,0.0,60.0,,True,Very delicious food. Delay in service.,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,1ee40164b4c7e1f24d108423fa8d69a1,4.0,Muy linda y pintoresca,2 years ago,,,,0.0,180.0,412.0,True,Very pretty and picturesque,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,ff9f83447534fb1504e77764b74bac5d,4.0,Muy lindo lugar volveria,2 years ago,,,,0.0,160.0,28.0,True,Very nice place I would return,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,eb8358d60bfabad751333cceacc0e879,4.0,Un clasico.. excelente relacion precio calidad. Imperdible.,2 years ago,,,,0.0,130.0,2.0,True,A classic... excellent quality-price ratio. Safety pin.,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,a0802fc6ccf86c057cad01e915a02d53,4.0,Hermoso lugar bien cuidado,2 years ago,,,,0.0,42.0,12.0,True,Beautiful well-kept place,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,1c4920c504244e1b4ab3279948921473,4.0,Mucho frio y muy ventosa. Parecia invierno,2 years ago,,,,0.0,58.0,161.0,False,Very cold and very windy. It seemed like winter,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,a81b6049d1b7a4c2403912d77bce06b6,4.0,Hermoso lugar ... pero pondria banos,2 years ago,,,,0.0,132.0,2.0,False,Beautiful place... but I would put bathrooms,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,cafa8a52236f98b9df005951beafe7db,4.0,Hermoso lugar para conocer,2 years ago,,,,0.0,162.0,74.0,True,Beautiful place to visit,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,5307d99ff5f03d8f2544026e3bd923a2,4.0,Muy lindo lugar con todas la comodidades.,2 years ago,,,,0.0,160.0,234.0,True,Very nice place with all the comforts.,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,b8a9527d4cf15cc0d258b691f35e06ed,4.0,Hermoso lugar para pasear,2 years ago,,,,0.0,216.0,149.0,True,Beautiful place to walk,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,504d52f1ce665e791373b7b70faab2ef,4.0,"Muy linda, pintoresca, digna de visitar",2 years ago,,,,0.0,74.0,2.0,False,"Very pretty, picturesque, worth visiting",,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,ae2defae17200789dca957274d188c64,4.0,"Buena ubicacion, buena atencion por parte del Front Desk, desayuno OK",2 years ago,,,,0.0,267.0,989.0,True,"Good location, good service from the Front Desk, OK breakfast",,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,1ec388f5bae6cf569d671f47b72aedde,4.0,Muy fascinante y agradable a los ojos. Impresionante imperdible,2 years ago,,,,0.0,76.0,2.0,False,Very fascinating and pleasing to the eyes. Impressive must-see,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,6a888da37b926901e4dc49d3f5506820,4.0,Lindo lugar para visitar,2 years ago,,,,0.0,97.0,34.0,True,Nice place to visit,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,a1f009aa78422b825a523701f9d2cd6c,4.0,Muy lindo. El muelle necesita un poco mas de mantenimiento.,2 years ago,,,,0.0,150.0,34.0,True,Very pretty. The dock needs a little more maintenance.,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,7dbe025db09d9c56957b3b8e9da648a8,4.0,Muy lindo el lugar y la comida abundante y sabrosa.,2 years ago,,,,0.0,24.0,10.0,True,Very nice place and abundant and tasty food.,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,e30ce7988feb31b1143c257b2588cb4a,4.0,"Lugar inolvidable,mucha tranquilidad .",2 years ago,,,,0.0,32.0,8.0,True,"Unforgettable place, very quiet.",,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,b63c7090cbe91950fba405748452c3e9,4.0,Hermoso lugar para sacar fotos,2 years ago,,,,0.0,230.0,269.0,True,Beautiful place to take photos,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,44ae24230bb9295b40896f3dfa72fdf5,4.0,"Un lugar magico, no dejar de visitar el restaurante!!!",2 years ago,,,,0.0,173.0,32.0,True,"A magical place, be sure to visit the restaurant!!!",,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,0977c824b77a83a3867327229185179e,4.0,Muy lindo lugar para descansar,2 years ago,,,,0.0,274.0,1525.0,True,Very nice place to rest,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,e9d3c506624e6e6de2cc26da489fb948,4.0,"Excelente lugar para hacer playa,",2 years ago,,,,0.0,79.0,109.0,True,"Excellent place to go to the beach,",,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,e72299b9f30aaa6f24caf5754dfacd60,4.0,"Hermoso lugar, excelente vista!",2 years ago,,,,0.0,108.0,15.0,True,"Beautiful place, excellent view!",,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,bd1081ad195b928956d7340f1ad8a626,4.0,"Linda bahia, muy calma para tomar unos mates y jugar a las cartas",2 years ago,,,,0.0,46.0,34.0,False,"Nice bay, very calm to have some mates and play cards",,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,b93eb93339e1fc26b69dd772fecc0d86,4.0,Muuuy lindo !  Quizas algun servicio si,2 years ago,,,,0.0,21.0,2.0,False,Soooo cute! Maybe some service if,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,a96e8b02a8400665a3775a5772cca973,4.0,Hermoso lugar para visitar en Villa La Angostura,2 years ago,,,,0.0,363.0,8.0,True,Beautiful place to visit in Villa La Angostura,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,fa716785d2b3c2ab6eabc33875ab5da1,4.0,Muy buen servicio y guia,2 years ago,,,,0.0,9.0,,False,Very good service and guide,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,6fafc54575a351d928372b1e1a34b9f3,4.0,Muy lindo lugar.,2 years ago,,,,0.0,326.0,,True,Very nice place.,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,23690e505910e569f5b4828426b4310a,4.0,Muy buen lugar para descansar,2 years ago,,,,0.0,76.0,48.0,True,Very good place to rest,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,9272bcf6750abd77561b32381ab0f37b,4.0,Muy linda y tranquila,2 years ago,,,,0.0,135.0,14.0,True,Very pretty and calm,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,45f416238ce45c0a3fa6f1f5356dd91c,4.0,Belleza total,2 years ago,,,,0.0,152.0,204.0,True,Total beauty,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,fcd804c3dd5a8c660abaa25f5ba71f96,4.0,Buen lugar para pasar un rato,2 years ago,,,,0.0,226.0,290.0,True,Good place to spend some time,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,2b96c323e242e4bd2389aad0776807ba,4.0,Hermosa vista,2 years ago,,,,0.0,256.0,356.0,True,Beautiful view,,,,,,,,,,,,,,,,,,,,,,,,,
