Fecha,Feriado,place_id_dataGoogleMaps,place_name_dataGoogleMaps,review_id_hash_dataGoogleMaps,rating_dataGoogleMaps,review_text_dataGoogleMaps,published_at_dataGoogleMaps,response_from_owner_text_dataGoogleMaps,response_from_owner_ago_dataGoogleMaps,response_from_owner_date_dataGoogleMaps,review_likes_count_dataGoogleMaps,total_number_of_reviews_by_reviewer_dataGoogleMaps,total_number_of_photos_by_reviewer_dataGoogleMaps,is_local_guide_dataGoogleMaps,review_translated_text_dataGoogleMaps,response_from_owner_translated_text_dataGoogleMaps,Ciudad_dataClima,Latitud_dataClima,Longitud_dataClima,Forecast_dataClima,Temperatura Promedio (°C)_dataClima,Temperatura Maxima (°C)_dataClima,Temperatura Minima (°C)_dataClima,Precipitación (mm)_dataClima,Nieve (cm)_dataClima,Humedad(%)_dataClima,Visibilidad (km)_dataClima,Velocidad Viento(m/s)_dataClima,Amanecer (s)_dataClima,Atardecer (s)_dataClima,Forecast Time_dataClima,Usuario_dataTiktok,Descripción_dataTiktok,Vistas_dataTiktok,Hashtags_dataTiktok,Origen_dataTiktok
2021-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,annitagwen,disfrutando de mi Argentina querida!#bahiamanzano #villalaangostura #foryou #,15200.0,bahiamanzano villalaangostura foryou ,bahia mansa
2021-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,melocontaron.ok,Bahía Mansa - Villa La Angostura #villalaangostura #patagoniaargentina,2085.0,#villalaangostura #patagoniaargentina      ,bahia mansa
2021-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vde.ok,📍 Villa La Angostura - Nuequén - Argentina 🇦🇷 #villalaangostura #nuequén #argentina,15500.0,#villalaangostura #nuequén #argentina       ,bahia brava
2021-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diego0garcia,#VillaLaAngostura #Neuquen #BahiaMansa #Turismo #Patagonia #Ruta40 #Argentina,4181.0,#VillaLaAngostura #Neuquen #BahiaMansa #Turismo #Patagonia #Ruta40 #Argentina    ,bahia mansa
2021-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nicodellegrazie,#viajar #VillaLaAngostura #paragonia #argentina #ParaTi,887.0,#viajar #VillaLaAngostura #paragonia #argentina #ParaTi,bahia brava
2021-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bandeveronica,"Bahía Brava, una de las playitas mas lindas de Villa La Angostura 🇦🇷💙 #mountain",1116.0,#mountain    ,bahia brava
2021-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jeropourtau,"Villa la angostura, bahia la mansa 🇦🇷",1043.0,,bahia mansa
2022-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mairoletto,Una playa hermosa y súper tranquila en Villa La Angostura #viaje #playa #lago #bahiabrava,262.0,#viaje #playa #lago #bahiabrava ,bahia brava
2022-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,florenciaprodan1,"📍Villa La Angostura, Bahia Mansa. #patagonia #sur #vacaciones #verano #naturaleza",666.0,#patagonia #sur #vacaciones #verano #naturaleza      ,bahia mansa
2022-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cardenasalfredo34,Villa la Angostura Neuquén,1612.0,,bahia mansa
2022-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,luchicasim,🤩😮 La Casa más cara de Villa La Angostura📍#venta #inmobiliaria #argentina #realstate,51500.0,#venta #inmobiliaria #argentina #realstate     ,bahia mansa
2022-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,florscovenna_,VILLA LA ANGOSTURA 📍 segunda recomendación🫶🏽 #villalaangostura,109600.0,#villalaangostura    ,bahia brava
2022-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,florscovenna_,🗺BAHIA MANSA en VLA📍 es soñada🤩 #villalaangostura #patagoniaargentina,28000.0,#villalaangostura #patagoniaargentina   ,bahia mansa
2022-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agustinapereyrav,Los colores del paisaje 😍 #villalaangostura #patagoniaargentina #bahiamansa,316.0,#villalaangostura #patagoniaargentina #bahiamansa ,bahia mansa
2022-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brujula_viajera,El bus a Villa La Angostura desde San Carlos de Bariloche cuesta 930 pesos ida y 930 vuelta aprox 25 soles aprox o 7 dólares,6725.0,    ,bahia brava
2023-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tripinargentina,"Uno los imperdibles de Villa La Angostura. Un bosque de arrayanes único en el mundo cautiva en la Patagonia argentina, con ejemplares de hasta 25 metros de alto que se distinguen por su belleza y la originalidad que les da su tono rojizo y canela. Aquí los ejemplares tienen un promedio de 200 años de edad, y miden entre 18 y 25 metros de altura. La majestuosidad del Parque de Arrayanes habría sido el disparador para que Walt Disney piense en Bambi, el ciervo más famoso de Hollywood. Si bien el cambio climático ha impactado indudablemente a este bosque, todavía se puede apreciar esa magia. Para llegar por vía lacustre, a través del Lago Nahuel Huapi, se llega a Puerto Arrayanes; también hay un servicio diario de catamarán desde el puerto La Angostura. Por tierra, cerca del puerto de Bahía Mansa se abre una senda peatonal de aproximadamente 12 kilómetros por la que se llega al Bosque de Arrayanes. Costo del Ingreso al Parque Nacional: $3.500 (extranjeros) – $1000 (residentes nacionales). Menores de 6-12 años: $500. Menores hasta los 5 años y jubilados argentinos no abonan.",14400.0,,bahia mansa
2023-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,listas_las_maletas,Respuesta a @listas_las_maletas Villa La Angostura en 2 días ❤️ #villalaangostura,27100.0,@listas_las_maletas #villalaangostura    ,bahia mansa
2023-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cielo_salas,Bahia Mansa 🇦🇷🥰 #fypシ #parati #viaje #bahiamansa #villalaangostura,7279.0,#fypシ #parati #viaje #bahiamansa #villalaangostura,bahia mansa
2023-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,argentosuiza,"🇦🇷 ¿Cuáles son los lagos de la RUTA DE LOS SIETE? 🇦🇷 Los lagos que componen el circuito que va desde San Martín de Los Andes hasta Villa La Angostura (o viceversa) varían dependiendo del autor del relato. Muchos no cuentan el Lago Espejo Chico, el Lago Hermoso o el Lago Machónico. Pero lo cierto es que este tramo de la Ruta 40 tiene mucho más que ofrecer que sólo los famosos 7, por eso en este video te resumo algunas paradas que podes sumar al trayecto para aprovecharlo al máximo. Te los dejo anotaditos: 1- Lago Lacar (por ser el primero, muchos no lo cuentan) 2- Lago Machónico 3- Lago Hermoso 4 - Cascada Vulignanco o Vuliñanco (ambas versiones son válidas) 5 - Lago Falker 6 - Lago Villarino 7 - Lago Escondido 8 - Cascadas Ñivinco (haciendo un trekking de 2,5 km - buscá el reel con toda la info) 9 - Lago Correntoso 10 - Río Ruca Malén 11 - Lago Espejo Chico 12 - Lago Espejo Grande 13- Río Correntoso 12 - Lago Nahuel Huapi en La Angostura (Bahía Mansa, Brava y Manzano) Muchos aprovechan también para visitar el Lago Meliquina o el Lago Traful, pero para mi esos merecen exclusividad ❤️ 🎬 Para ver la info completa, te invito a ver mi último video en Youtube! El link lo encontrás en mi perfil. ¿Vos cómo conocías este circuito? _",54800.0,    ,bahia mansa
2023-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nolausomasrg,#sur #villalaangostura #bahiamansa #lagocorrentoso #puertomanzano,506.0,#sur #villalaangostura #bahiamansa #lagocorrentoso #puertomanzano,bahia mansa
2023-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ornellacollia,Mirador Brazo Norte: Bahia Mansa y Bahia Brava💘⛰️ #argentina #patagoniaargentina,1821.0,#argentina #patagoniaargentina      ,bahia brava
2023-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arianadelfi2,#villalaangostura #bahiamansa #neuquenviral #vacaciones #paisajes_hermosos,1042.0,#villalaangostura #bahiamansa #neuquenviral #vacaciones #paisajes_hermosos,bahia mansa
2023-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,buscamiviaje,CAMPING EN VILLA LA ANGOSTURA ⛰️ #patagoniaargentina #patagonia #vla,13600.0,#patagoniaargentina #patagonia #vla            ,bahia mansa
2023-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pescuramos,Viajamos en catamarán hasta el Bosque Los Arrayanes e hicimos 12 km de vuelta caminando hasta VLA. Terminar metidos en el Lago de Bahía Mansa fue el broche de oro. . . .,287.0,       ,bahia mansa
2023-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,micamurua.s,#vlog de hoy primer día en #villalaangostura #surargentino #hotellife 🏔🗺 #calfucho,5779.0,#vlog #villalaangostura #surargentino #hotellife #calfucho,bahia mansa
2023-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,katherinavilca,#viajar #argentina #neuquenargentina #villalaangostura #villalaangosturaturismo,708.0,#viajar #argentina #neuquenargentina #villalaangostura #villalaangosturaturismo          ,bahia mansa
2023-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,elmundodepam.ok,Villa la Angostura sin auto es posible 😎 #villalangostura #neuquen #visitargentina,14200.0,#villalangostura #neuquen #visitargentina,bahia brava
2023-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,laracorrea182,Bosque de Arrayanes. Fuimos en barco desde Bahia Brava y luego volvimos caminando al pueblo,890.0,    ,bahia brava
2023-04-22,,,,,,,,,,,,,,,,,"Villa La Angostura, AR",-40.78,-71.66,Sunny,7.6,13.0,1.6,0.0,0.0,68.0,10.0,8.6,08:23 AM,07:06 PM,2024-04-22 19:14,,,,,
2023-04-23,,,,,,,,,,,,,,,,,"Villa La Angostura, AR",-40.78,-71.66,Sunny,10.3,16.9,5.5,0.0,0.0,59.0,10.0,8.3,08:24 AM,07:05 PM,2024-04-22 19:12,,,,,
2023-04-24,,,,,,,,,,,,,,,,,"Villa La Angostura, AR",-40.78,-71.66,Sunny,10.4,16.5,6.5,0.0,0.0,55.0,10.0,15.1,08:25 AM,07:03 PM,2024-04-22 19:14,,,,,
2023-04-25,,ChIJOemoJDK_EJYR_i_YDrSzhoU,bahia brava,afd113ebb6e69a65546db9ebb79779e4,5.0,"Hermoso lugar. Para ir, disfrutar del paisaje y quedarse todo el dia. A pocos metros se encuentra Bahia Mansa que tambien es hermoso. AGUA CRISTALINA.",a year ago,,,,3.0,37.0,50.0,True,"Beautiful place. To go, enjoy the landscape and stay all day. A few meters away is Bahia Mansa which is also beautiful. CLEAR WATER.",,"Villa La Angostura, AR",-40.78,-71.66,Heavy rain at times,7.6,9.7,6.1,8.6,0.0,77.0,9.6,9.7,08:27 AM,07:02 PM,2024-04-22 19:14,,,,,
2023-04-25,,ChIJOemoJDK_EJYR_i_YDrSzhoU,bahia brava,1e7de97b538a7a2a5aa5a77bfe088744,5.0,Hermosa playa!   Tranquila y con colores alucinantes en el agua,a year ago,,,,2.0,10.0,19.0,True,Beautiful beach!   Quiet and with amazing colors in the water,,"Villa La Angostura, AR",-40.78,-71.66,Heavy rain at times,7.6,9.7,6.1,8.6,0.0,77.0,9.6,9.7,08:27 AM,07:02 PM,2024-04-22 19:14,,,,,
2023-04-25,,ChIJOemoJDK_EJYR_i_YDrSzhoU,bahia brava,76804f00097654b5f414abc67c2a8076,5.0,"Aguas completamente transparentes , hermoso paisaje , menos viento que en otras playas , la arena mas fina por ser ceniza volvanica",a year ago,,,,1.0,19.0,12.0,True,"Completely transparent waters, beautiful landscape, less wind than other beaches, the finest sand because it is volvanic ash.",,"Villa La Angostura, AR",-40.78,-71.66,Heavy rain at times,7.6,9.7,6.1,8.6,0.0,77.0,9.6,9.7,08:27 AM,07:02 PM,2024-04-22 19:14,,,,,
2023-04-25,,ChIJOemoJDK_EJYR_i_YDrSzhoU,bahia brava,a459b0c7fe1d484e44cc7bff4391d645,5.0,"Me encanto este lugar, hicimos kayak, hacia calor y pudimos disfrutar mucho del paisaje! 100% recomendado",a year ago,,,,1.0,611.0,1283.0,True,"I loved this place, we kayaked, it was hot and we were able to enjoy the landscape a lot! 100% recommended",,"Villa La Angostura, AR",-40.78,-71.66,Heavy rain at times,7.6,9.7,6.1,8.6,0.0,77.0,9.6,9.7,08:27 AM,07:02 PM,2024-04-22 19:14,,,,,
2023-04-25,,ChIJOemoJDK_EJYR_i_YDrSzhoU,bahia brava,a568fc95d81d51e5b4b1859ab1d3f1d0,5.0,"Lindo lugar!!! Hay un lugar de turismo, con buena atencion y mucha info.",a year ago,,,,0.0,353.0,263.0,True,"Nice place!!! There is a tourism place, with good service and a lot of information.",,"Villa La Angostura, AR",-40.78,-71.66,Heavy rain at times,7.6,9.7,6.1,8.6,0.0,77.0,9.6,9.7,08:27 AM,07:02 PM,2024-04-22 19:14,,,,,
2023-04-25,,ChIJOemoJDK_EJYR_i_YDrSzhoU,bahia brava,f0fcf08d91c4583a6aab433e0a08b7b5,5.0,Espectacular ambas bahias. Lo extrano es que me dijeron que en la brava era mas ventoso y me paso al reves. En la Brava muchisimo calor y la Mansa ventoso. Un lugar que no podes dejar de ir a conocer si vas a Villa la angostura.,a year ago,,,,0.0,191.0,939.0,True,Spectacular both bays. The strange thing is that they told me that it was windier in La Brava and it happened the other way around. In La Brava very hot and La Mansa windy. A place that you cannot miss if you go to Villa la Angostura.,,"Villa La Angostura, AR",-40.78,-71.66,Heavy rain at times,7.6,9.7,6.1,8.6,0.0,77.0,9.6,9.7,08:27 AM,07:02 PM,2024-04-22 19:14,,,,,
2023-04-25,,ChIJOemoJDK_EJYR_i_YDrSzhoU,bahia brava,786239d05f631627327f50f2d14baebb,5.0,Ideal para tomar unos mates disfrutando la belleza del lugar,a year ago,,,,0.0,18.0,5.0,False,Ideal for having some mates enjoying the beauty of the place,,"Villa La Angostura, AR",-40.78,-71.66,Heavy rain at times,7.6,9.7,6.1,8.6,0.0,77.0,9.6,9.7,08:27 AM,07:02 PM,2024-04-22 19:14,,,,,
2023-04-25,,ChIJOemoJDK_EJYR_i_YDrSzhoU,bahia brava,e9ee4c72cef156109da29596bfc4f477,5.0,Hermosa playa,a year ago,,,,0.0,537.0,173.0,True,Beautiful beach,,"Villa La Angostura, AR",-40.78,-71.66,Heavy rain at times,7.6,9.7,6.1,8.6,0.0,77.0,9.6,9.7,08:27 AM,07:02 PM,2024-04-22 19:14,,,,,
2023-04-25,,ChIJOemoJDK_EJYR_i_YDrSzhoU,bahia brava,4659d1659b4f8b9ca38c120b6fedd03d,5.0,Una vista espectacular y el sonido del agua relaja hasta al mas nervioso. Una maravilla.,a year ago,,,,0.0,5.0,1.0,False,A spectacular view and the sound of the water relaxes even the most nervous. A marvel.,,"Villa La Angostura, AR",-40.78,-71.66,Heavy rain at times,7.6,9.7,6.1,8.6,0.0,77.0,9.6,9.7,08:27 AM,07:02 PM,2024-04-22 19:14,,,,,
2023-04-25,,ChIJOemoJDK_EJYR_i_YDrSzhoU,bahia brava,9f54ad23e5414b5690a0ba5e3299922d,5.0,Hermoso lugar,a year ago,,,,0.0,116.0,56.0,True,Beautiful place,,"Villa La Angostura, AR",-40.78,-71.66,Heavy rain at times,7.6,9.7,6.1,8.6,0.0,77.0,9.6,9.7,08:27 AM,07:02 PM,2024-04-22 19:14,,,,,
2023-04-25,,ChIJOemoJDK_EJYR_i_YDrSzhoU,bahia brava,975e03632dcfccde88ae7b62d55e7167,5.0,Un lugar increible!!,a year ago,,,,0.0,8.0,3.0,True,An incredible place!!,,"Villa La Angostura, AR",-40.78,-71.66,Heavy rain at times,7.6,9.7,6.1,8.6,0.0,77.0,9.6,9.7,08:27 AM,07:02 PM,2024-04-22 19:14,,,,,
2023-04-25,,ChIJOemoJDK_EJYR_i_YDrSzhoU,bahia brava,b7713c8e7b1114088b33e82698607828,5.0,Me encanto,a year ago,,,,0.0,16.0,8.0,False,I loved,,"Villa La Angostura, AR",-40.78,-71.66,Heavy rain at times,7.6,9.7,6.1,8.6,0.0,77.0,9.6,9.7,08:27 AM,07:02 PM,2024-04-22 19:14,,,,,
2023-04-25,,ChIJOemoJDK_EJYR_i_YDrSzhoU,bahia brava,e512bc9ea9b3978912dd1f956bd5fcb2,5.0,Imperdible en la Villa,a year ago,,,,0.0,134.0,49.0,True,Not to be missed in the Villa,,"Villa La Angostura, AR",-40.78,-71.66,Heavy rain at times,7.6,9.7,6.1,8.6,0.0,77.0,9.6,9.7,08:27 AM,07:02 PM,2024-04-22 19:14,,,,,
2023-04-25,,ChIJOemoJDK_EJYR_i_YDrSzhoU,bahia brava,666c9d4fede8d8e23d7ac21dbcf86b69,5.0,,a year ago,,,,0.0,1.0,,False,,,"Villa La Angostura, AR",-40.78,-71.66,Heavy rain at times,7.6,9.7,6.1,8.6,0.0,77.0,9.6,9.7,08:27 AM,07:02 PM,2024-04-22 19:14,,,,,
2023-04-25,,ChIJOemoJDK_EJYR_i_YDrSzhoU,bahia brava,6395355ae696c26cf77f559f8e0969cf,5.0,,a year ago,,,,0.0,11.0,3.0,True,,,"Villa La Angostura, AR",-40.78,-71.66,Heavy rain at times,7.6,9.7,6.1,8.6,0.0,77.0,9.6,9.7,08:27 AM,07:02 PM,2024-04-22 19:14,,,,,
2023-04-25,,ChIJOemoJDK_EJYR_i_YDrSzhoU,bahia brava,f65e614c03e4013de545c5e88a1c807a,5.0,,a year ago,,,,0.0,18.0,2.0,True,,,"Villa La Angostura, AR",-40.78,-71.66,Heavy rain at times,7.6,9.7,6.1,8.6,0.0,77.0,9.6,9.7,08:27 AM,07:02 PM,2024-04-22 19:14,,,,,
2023-04-25,,ChIJOemoJDK_EJYR_i_YDrSzhoU,bahia brava,92c2834f113170c2a4744209d4476b2b,5.0,,a year ago,,,,0.0,275.0,797.0,True,,,"Villa La Angostura, AR",-40.78,-71.66,Heavy rain at times,7.6,9.7,6.1,8.6,0.0,77.0,9.6,9.7,08:27 AM,07:02 PM,2024-04-22 19:14,,,,,
2023-04-25,,ChIJOemoJDK_EJYR_i_YDrSzhoU,bahia brava,b67af891601b16bc7a59a21069221df9,5.0,,a year ago,,,,0.0,2.0,14.0,True,,,"Villa La Angostura, AR",-40.78,-71.66,Heavy rain at times,7.6,9.7,6.1,8.6,0.0,77.0,9.6,9.7,08:27 AM,07:02 PM,2024-04-22 19:14,,,,,
2023-04-25,,ChIJOemoJDK_EJYR_i_YDrSzhoU,bahia brava,31053d73bfafc58a7bcff289544aaadb,5.0,,a year ago,,,,0.0,18.0,7.0,True,,,"Villa La Angostura, AR",-40.78,-71.66,Heavy rain at times,7.6,9.7,6.1,8.6,0.0,77.0,9.6,9.7,08:27 AM,07:02 PM,2024-04-22 19:14,,,,,
2023-04-25,,ChIJOemoJDK_EJYR_i_YDrSzhoU,bahia brava,ae284c722ffe9051031a75fd1d071caf,5.0,,a year ago,,,,0.0,127.0,444.0,True,,,"Villa La Angostura, AR",-40.78,-71.66,Heavy rain at times,7.6,9.7,6.1,8.6,0.0,77.0,9.6,9.7,08:27 AM,07:02 PM,2024-04-22 19:14,,,,,
2023-04-25,,ChIJOemoJDK_EJYR_i_YDrSzhoU,bahia brava,2280cef7010397ac3252dee63e9e0519,5.0,,a year ago,,,,0.0,77.0,64.0,True,,,"Villa La Angostura, AR",-40.78,-71.66,Heavy rain at times,7.6,9.7,6.1,8.6,0.0,77.0,9.6,9.7,08:27 AM,07:02 PM,2024-04-22 19:14,,,,,
2023-04-25,,ChIJOemoJDK_EJYR_i_YDrSzhoU,bahia brava,81fd8ad312c821860c82159602999ee3,5.0,,a year ago,,,,0.0,7.0,30.0,False,,,"Villa La Angostura, AR",-40.78,-71.66,Heavy rain at times,7.6,9.7,6.1,8.6,0.0,77.0,9.6,9.7,08:27 AM,07:02 PM,2024-04-22 19:14,,,,,
2023-04-25,,ChIJOemoJDK_EJYR_i_YDrSzhoU,bahia brava,b44792748fd0e49f8dc0edceb5d80b5e,4.0,Hermosa playita. Lastima que no te podes meter al agua por los barcos.,a year ago,,,,1.0,106.0,179.0,True,Beautiful little beach. Too bad you cant get into the water because of the boats.,,"Villa La Angostura, AR",-40.78,-71.66,Heavy rain at times,7.6,9.7,6.1,8.6,0.0,77.0,9.6,9.7,08:27 AM,07:02 PM,2024-04-22 19:14,,,,,
2023-04-25,,ChIJOemoJDK_EJYR_i_YDrSzhoU,bahia brava,07d190c1f7a114e374b5b8c79f348db8,4.0,Me encanto. Como todo el viaje entre Villa Pehuenia y Bariloche. Un lugar mejor que el otro.,a year ago,,,,0.0,429.0,442.0,True,I loved. Like the entire trip between Villa Pehuenia and Bariloche. One place better than the other.,,"Villa La Angostura, AR",-40.78,-71.66,Heavy rain at times,7.6,9.7,6.1,8.6,0.0,77.0,9.6,9.7,08:27 AM,07:02 PM,2024-04-22 19:14,,,,,
2023-04-25,,ChIJOemoJDK_EJYR_i_YDrSzhoU,bahia brava,a9d8500b0abc26776c75a045fa3a70af,4.0,,a year ago,,,,0.0,8.0,,False,,,"Villa La Angostura, AR",-40.78,-71.66,Heavy rain at times,7.6,9.7,6.1,8.6,0.0,77.0,9.6,9.7,08:27 AM,07:02 PM,2024-04-22 19:14,,,,,
2023-04-25,,ChIJOemoJDK_EJYR_i_YDrSzhoU,bahia brava,00041dd0a41aa4c7c05ed8d7aa0e5375,4.0,,a year ago,,,,0.0,5.0,1.0,False,,,"Villa La Angostura, AR",-40.78,-71.66,Heavy rain at times,7.6,9.7,6.1,8.6,0.0,77.0,9.6,9.7,08:27 AM,07:02 PM,2024-04-22 19:14,,,,,
2023-04-25,,ChIJOemoJDK_EJYR_i_YDrSzhoU,bahia brava,565993357c9e5b0ec9f25d0f015f8f9b,4.0,,a year ago,,,,0.0,55.0,353.0,True,,,"Villa La Angostura, AR",-40.78,-71.66,Heavy rain at times,7.6,9.7,6.1,8.6,0.0,77.0,9.6,9.7,08:27 AM,07:02 PM,2024-04-22 19:14,,,,,
2023-04-25,,ChIJOemoJDK_EJYR_i_YDrSzhoU,bahia brava,0be8cb2d77c3f4d244897bdf6d299939,4.0,,a year ago,,,,0.0,9.0,1.0,False,,,"Villa La Angostura, AR",-40.78,-71.66,Heavy rain at times,7.6,9.7,6.1,8.6,0.0,77.0,9.6,9.7,08:27 AM,07:02 PM,2024-04-22 19:14,,,,,
2023-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,197ba4f5de992fdcc0c0f7b5bf1fc59d,5.0,"La vista y el rio es espectacular. Para mi el agua muy helada, pero he visto a personas banarse. Hicimos kayak y nos cobraron 4000 pesos (2p x 1h) luego preguntamos y no dijeron que nos vieron la cara. Parece que el precio es menos. Mas alla de esos es fantastico",a year ago,,,,1.0,61.0,275.0,True,"The view and the river are spectacular. For me the water is very cold, but I have seen people bathe. We kayaked and they charged us 4000 pesos (2p x 1h) then we asked and they didnt say they saw our faces. It seems that the price is less. Beyond those its fantastic",,"Villa La Angostura, AR",-40.78,-71.66,Heavy rain at times,7.6,9.7,6.1,8.6,0.0,77.0,9.6,9.7,08:27 AM,07:02 PM,2024-04-22 19:14,,,,,
2023-04-25,,ChIJUydX4C-_EJYRWIZbBAF300s,bahia mansa,b08436449878511e0d817d52eec64595,5.0,"Es un lugar bellisimo y tranquilo, nosotros fuimos  empezando la segunda quincena de febrero, por lo que no habia mucha gente. No vimos letreros que digan que no se permiten perros, de echo muchas familias paseaban con ellos con y sin correa. Es ideal para la familia porque tiene un par de.metros donde la profundidad del agua es pareja, por lo que ninos y adultos pueden banarse. Ademas cuenta con kayak ($3000 la hora) , remo, bici acuatica ( $3000 la hora), botes, lanchas para disfrutar aun mas.",a year ago,,,,0.0,31.0,43.0,True,"It is a beautiful and quiet place, we went starting the second half of February, so there were not many people. We did not see signs saying that dogs are not allowed, in fact many families walked with them on and off leash. It is ideal for the family because it has a couple of meters where the depth of the water is even, so children and adults can bathe. It also has kayak ($3000 per hour), rowing, water bike ($3000 per hour), boats, motorboats to enjoy even more.",,"Villa La Angostura, AR",-40.78,-71.66,Heavy rain at times,7.6,9.7,6.1,8.6,0.0,77.0,9.6,9.7,08:27 AM,07:02 PM,2024-04-22 19:14,,,,,
