Fecha,Usuario,Descripción,Vistas,Hashtags,Origen,Ciudad,Latitud,Longitud,Forecast,Temperatura Promedio (°C),Temperatura Maxima (°C),Temperatura Minima (°C),Precipitación (mm),Nieve (cm),Humedad(%),Visibilidad (km),Velocidad Viento(m/s),Amanecer (s),Atardecer (s),Forecast Time
2023-07-10,elbuenoconocido,Dónde quedarse en Villa La Angostura? 😍🌄🗻💓 #villalaangostura #vla,7322,#villalaangostura #vla                ,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Partly cloudy,-2.3,0.5,-4.7,0.0,0.0,85,10.0,8.6,09:10 AM,06:35 PM,2024-04-22 19:09
2023-08-12,ignaciofitero,"La magia del Sur , La Villa y buena compañia🏔️🫶🏽🥺 #Sur #villalaangostura #snowboarding",1226,#Sur #villalaangostura #snowboarding     ,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Moderate rain at times,-0.1,5.4,-4.3,6.5,1.53,72,10.0,12.8,08:40 AM,07:04 PM,2024-04-22 19:10
2023-12-25,osunabelenyanina,#miamor #escapada #villalaangostura #bahiamansa #lagocorrentoso,3140,#miamor #escapada #villalaangostura #bahiamansa #lagocorrentoso  ,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Sunny,15.6,23.4,7.2,0.0,0.0,54,10.0,7.6,06:13 AM,09:20 PM,2024-04-22 19:04
2024-01-18,natunat2025,#argentina #paraiso #patagoniaargentina #villalaangostura #diosproveera,820,#argentina #paraiso #patagoniaargentina #villalaangostura #diosproveera ,bahia_brava,"Villa La Angostura, AR",-40.78,-71.66,Sunny,11.9,19.0,5.1,0.3,0.0,56,10.0,23.4,06:36 AM,09:17 PM,2024-04-22 19:03
2023-12-07,thiagof.okk,#bahiabrava #villalaangostura #pyf #viral #vacaciones #parati #viral,1490,#bahiabrava #villalaangostura #pyf #viral #vacaciones #parati #viral,bahia_brava,"Villa La Angostura, AR",-40.78,-71.66,Partly cloudy,12.8,20.4,6.1,0.0,0.0,59,10.0,13.3,06:08 AM,09:08 PM,2024-04-22 19:06
2023-06-24,beleen.ro,Que hermoso es mi país🇦🇷 #viaje #argentina #patagoniaargentina #villalaangostura,1798,#viaje #argentina #patagoniaargentina #villalaangostura  ,bahia_brava,"Villa La Angostura, AR",-40.78,-71.66,Moderate or heavy rain shower,2.2,3.3,1.0,15.4,0.0,97,6.2,13.0,09:12 AM,06:26 PM,2024-04-22 19:10
2023-08-28,arielapesci,el sur srgentino 🇦🇷🫶🏻🥹🧉 #bahiabrava #villalaangostura #traveltiktok,949,#bahiabrava #villalaangostura #traveltiktok    ,bahia_brava,"Villa La Angostura, AR",-40.78,-71.66,Light snow showers,2.3,3.7,-1.7,17.1,6.38,87,8.1,22.7,08:17 AM,07:19 PM,2024-04-22 19:08
2023-08-27,micaelacamino15,#parati #viral #rutina #fypシ #viraltiktok #neuquen #bahiabrava🇦🇷 #villalaangostura,3411,#parati #viral #rutina #fypシ #viraltiktok #neuquen #bahiabrava🇦🇷 #villalaangostura,bahia_brava,"Villa La Angostura, AR",-40.78,-71.66,Light drizzle,2.3,6.6,-1.0,0.7,0.0,78,8.8,17.6,08:19 AM,07:18 PM,2024-04-22 19:08
2023-11-19,nicot85,#bahiabrava #villalaangostura #VLA Esas aguas por Dios!!! ❤️,735,#bahiabrava #villalaangostura #VLA,bahia_brava,"Villa La Angostura, AR",-40.78,-71.66,Light rain,4.1,5.5,2.0,12.73,0.0,97,7.0,21.6,06:16 AM,08:48 PM,2024-04-22 19:07
2024-04-10,jbelmendoza,#villalaangostura #sibo #nutri #Sur #bariloche #bahiabrava #puerto #villa,600,#villalaangostura #sibo #nutri #Sur #bariloche #bahiabrava #puerto #villa,bahia_brava,"Villa La Angostura, AR",-40.78,-71.66,Sunny,5.1,9.7,1.9,0.0,0.0,49,10.0,21.2,08:12 AM,07:23 PM,2024-04-22 19:02
2024-04-02,ayrlonnegabi,Bora conhecer os principais pontos turísticos e mirantes em Villa la Angostura? 📌 Letreiro da Cidade 📌 Mirador Brazo Norte 📌 Mirador del Puerto 📌 Bahia Brava 📌 Rio Correntoso 📌 Pampitas Empanadas #villalaangostura #pontosturísticos #mirante #roadtrip,165,,bahia_brava,"Villa La Angostura, AR",-40.78,-71.66,Moderate or heavy sleet,5.0,7.3,2.4,44.04,0.0,85,8.0,30.2,08:04 AM,07:36 PM,2024-04-22 19:00
2024-02-25,marti_casas,Soñado🤯🤩 #villalaangostura #puertovilla #bahiabrava🇦🇷 #travel,867,#villalaangostura #puertovilla #bahiabrava🇦🇷 #travel,bahia_brava,"Villa La Angostura, AR",-40.78,-71.66,Partly cloudy,13.4,20.6,8.6,0.0,0.0,49,10.0,17.6,07:23 AM,08:35 PM,2024-04-22 19:01
2024-03-07,danuxok,MATESULI EN LA MANSA 💙 #bahiamansa #laangostura #montaña #ruta40 #paradise,331,#bahiamansa #laangostura #montaña #ruta40 #paradise           ,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Sunny,10.9,19.3,5.3,0.0,0.0,48,10.0,26.3,07:36 AM,08:18 PM,2024-04-22 19:01
2024-01-24,viajandojuntosamerica,Mirador Bahía Mansa. Uno de los lugares imperdibles al visitar Villa la Angostura es su mirador natural. Hicimos un corto trekking y llegamos a una de las mejores vistas de la patagonia Argentina.,1029,    ,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Sunny,16.8,25.7,9.0,0.0,0.0,45,10.0,23.4,06:43 AM,09:13 PM,2024-04-22 19:05
2023-09-26,respiraargentina,"¿Conoces este lugar maravilloso? 📍Camino al Mirador Bahía Mansa ,Villa La Angostura . 🎥viviendoenpatagonia",2765,     ,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Light snow,1.0,3.9,-2.4,0.16,0.02,79,10.0,20.9,07:30 AM,07:47 PM,2024-04-22 19:09
2024-01-20,nolgutleber,"De los lugares más lindos. Villa La Angostura, Bahía Brava. #belleza #viajeconmates",397,#belleza #viajeconmates        ,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Sunny,17.0,26.3,10.1,0.0,0.0,50,10.0,15.8,06:38 AM,09:16 PM,2024-04-22 19:03
2024-01-22,turismovla,La hermosa Bahía Brava!,6086,,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Sunny,20.0,28.5,13.0,0.47,0.0,41,10.0,17.6,06:41 AM,09:15 PM,2024-04-22 19:03
2024-02-08,cristinarodriguez706,"Villa la Angostura, bahía brava #argentina #patagonia #cordilleraargentina",639,#argentina #patagonia #cordilleraargentina,bahia_brava,"Villa La Angostura, AR",-40.78,-71.66,Partly cloudy,14.1,21.8,8.5,0.1,0.0,46,10.0,10.8,07:02 AM,08:59 PM,2024-04-22 19:02
2023-07-15,melanygimenez97,"De los lugares más hermosos y tranquilos que vi. 🥰 📍En el video se ve un poquito de la ciudad, Bahía Brava y Bahía Manza.",781,      ,bahia_brava,"Villa La Angostura, AR",-40.78,-71.66,Light freezing rain,-0.5,2.4,-2.6,2.9,0.43,81,10.0,15.1,09:07 AM,06:38 PM,2024-04-22 19:09
2023-10-15,moveontraveling1,"Cuando pensas en Villa La Angostura... 👉🏼Que es lo primero que se te viene a la cabeza??? - Lagos🚣‍♀ - Montañas ⛰️ - Cerros Nevados 🏔️ - Todo junto y más ✨😍 💛Hoy te mostramos ""La playa Bahía brava"" en el Lago Nahuel Huapi . . 🧐Lo conocías??? 📱Escribimos para saber las todas las actividades que podes hacer. 👉🏼Contactanos por mensaje directo, estamos para vos👩🏽‍💻‼️ . . caminataspatagonicas",1785,           ,bahia_brava,"Villa La Angostura, AR",-40.78,-71.66,Partly cloudy,5.1,11.2,-0.5,0.01,0.0,68,10.0,20.5,06:58 AM,08:07 PM,2024-04-22 19:08
2024-03-27,vivermaisomundo,"Um dos lugares mais lindos de Villa la Angostura Essa é a Bahia Mansa, com águas calmas e cor azul esverdeada. O passeio de caiaque por aqui é imperdível e do outro lado a alguns metros fica a Bahia Brava com águas mais agitadas.",748,    ,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Partly cloudy,12.6,18.8,7.8,0.0,0.0,67,10.0,11.2,07:58 AM,07:46 PM,2024-04-22 19:00
2024-02-18,vivamoslapatagonia,"Villa La Angostura y sus paisajes tan hermosos!!! 📍Bahía Manzano Somos Maru y Mau y te mostramos lo que vivimos a diario en la patagonia 🇦🇷 Seguinos en Instagram donde somos una comunidad de 153k 👉🏽 Si te gustó compartilo 📲 y ♥️ 👉🏽 Guardalo 💾 👉🏽 Cuidemos el 🌎 ……………………………..…………………………. 🙌🏼 Se parte de la solución, no de la contaminación ⚠️Si vas y volves con tu 📱 anda y volvé con tu basura🚯👉🏽 🚮♻️ ……………………………..…………………………. #parati #tiktok #viajar #viajaresvivir #paraiso #lago #playa #montañas #villalaango",4174,                       ,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Sunny,16.5,23.3,9.6,0.0,0.0,43,10.0,6.1,07:15 AM,08:46 PM,2024-04-22 19:02
2024-03-10,gabrielcris23,Bahia mansa - villa la angostura #sur #patagoniaargentina #patagonia,553,#sur #patagoniaargentina #patagonia ,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Cloudy,10.7,17.2,5.4,0.11,0.0,72,10.0,25.9,07:39 AM,08:13 PM,2024-04-22 19:03
2024-02-26,delrioalmundo,podemos admitir que Villa La Angostura es de los mejores lugares de Argentina? 😍,17700,    ,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Sunny,12.7,19.9,6.7,0.0,0.0,57,10.0,19.4,07:25 AM,08:34 PM,2024-04-22 19:03
2023-12-11,casadosyfelices23,Bahia mansa Villa la Angostura que les parece esta belleza de lugar?#parati #paratii,573,#parati #paratii         ,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Patchy rain possible,11.9,17.0,8.1,0.74,0.0,68,10.0,27.0,06:09 AM,09:11 PM,2024-04-22 19:04
2024-02-26,nadiaashir,"Un poco de paz✨️🏞🛶 📍Bahia Mansa, Villa La Angostura. Neuquén #argentina🇦🇷 #neuquén",342,#argentina🇦🇷 #neuquén   ,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Sunny,12.7,19.9,6.7,0.0,0.0,57,10.0,19.4,07:25 AM,08:34 PM,2024-04-22 19:03
2023-10-30,cristianvejares39,"Mirador Bahia Mansa, Villa la Angostura Neuquén.",450,,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Moderate or heavy snow showers,-0.7,2.7,-5.5,10.22,8.31,86,7.2,22.3,06:37 AM,08:24 PM,2024-04-22 19:07
2024-01-06,laailafarias,"BUENAS BUENAAAAAS, mini resumen de paisajes que disfrutamos ayer💖 alquilamos bicicletas en Villa La angostura y recorrimos todo ✨ 7 hs intensas pero valieron la pena. Quieren que les suba videl explicando y pasando data?",31900,     ,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Light rain shower,12.4,16.9,9.8,5.08,0.0,80,9.3,23.4,06:23 AM,09:21 PM,2024-04-22 19:05
2024-02-22,gusariase,"📍 Lago Nahuel Huapi, Villa la Angostura. Está estás espectacular bahía Brazo Rincón.",31400,      ,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Light rain shower,9.7,14.4,7.1,2.7,0.0,73,8.7,25.2,07:20 AM,08:40 PM,2024-04-22 19:03
2023-08-02,fuentes_constructora,ALOJAMIENTO EN VILLA LA ANGOSTURA. #paratii #vacaciones #surdeargentina,4780,#paratii #vacaciones #surdeargentina  ,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Patchy moderate snow,0.4,1.8,-2.9,6.5,0.51,80,9.2,16.4,08:52 AM,06:54 PM,2024-04-22 19:09
2024-01-02,micabarredoarte,El restaurante con la mejor vista de Villa La Angostura 🏔️🇦🇷 En el extremo norte del lago Nahuel Huapi se encuentra @miradorlakecuisine Un espacio que parece flotar por encima del agua y que te sorprende con sus sabores 🐠🌷 Si este verano estás por la Patagonia Argentina tenés que conocerlo 🫶🏽,21800,   ,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Partly cloudy,16.0,24.0,8.3,0.0,0.0,49,10.0,19.8,06:19 AM,09:22 PM,2024-04-22 19:05
2023-11-17,agustinaginerr,Hospedarse en hoteles de la cadena DOT : ruma andina en villa la angostura #hotel,6690,#hotel        ,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Moderate or heavy snow showers,2.2,3.3,-0.3,20.99,5.66,90,5.4,34.9,06:17 AM,08:46 PM,2024-04-22 19:05
2023-11-29,lugaresyrutas,Villa La Angostura #bariloche2023🇦🇷🇦🇷🇦🇷💫✨💫✨💫✨,42400,#bariloche2023🇦🇷🇦🇷🇦🇷💫✨💫✨💫✨          ,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Patchy rain possible,5.9,7.5,2.8,1.5,0.0,84,9.0,20.9,06:10 AM,09:00 PM,2024-04-22 19:05
2024-01-13,rodriflorentin,la casita de la oma en villa la angostura💖 #merienda #patagoniaargentina,32400,#merienda #patagoniaargentina,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Sunny,11.6,17.4,6.4,0.0,0.0,60,10.0,28.1,06:30 AM,09:20 PM,2024-04-22 19:03
2024-01-18,turismovla,"Ver el atardecer en la montaña, conectar con el entorno y toda la magia que tiene Villa La Angostura para ofrecer.",867, ,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Sunny,11.9,19.0,5.1,0.3,0.0,56,10.0,23.4,06:36 AM,09:17 PM,2024-04-22 19:03
2024-03-07,darquierpropiedades,"Descubre las grandiosas oportunidades de inversión en Villa La Angostura de la mano de Darquier Propiedades🏔️ 📈Con un notable crecimiento económico en los dos últimos años, respaldado por su alta rentabilidad en dólares, este rincón del sur argentino se vuelve en un lugar perfecto a la hora de querer analizar una inversión. 🏠Desde Darquier Propiedades ofrecemos diversas opciones de inversión, desde terrenos para analizar un proyecto de vivienda o multifamiliar, hasta proyectos de complejos turisticos, casas, viviendas en propiedad horizontal, y duplex. Ofrecemos además la posibilidad de brindarte un servicio de asesoramiento, amueblamiento y administración de la propiedad para que puedas invertir con tranquilidad estés donde estés. Gracias a las alianzas establecidas con colegas locales, podemos acercarte oportunidades únicas Si querés recibir más información, no dudes en ponerte en contacto con nosotros a través de nuestras redes sociales📲.",537,       ,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Sunny,10.9,19.3,5.3,0.0,0.0,48,10.0,26.3,07:36 AM,08:18 PM,2024-04-22 19:01
2023-09-17,agustinaginerr,"Acompañame en esta experiencia: dia 1 en mi viaje a Villa La angostura. Partimos desde aeroparque hacia Bariloche. Dejamos nuestro auto en @maderoparking. Una vez en bariloche retiramos el auto que alquilamos en KMCERO por $108000 los 6 días. Primera parada: @rumaandina by @dot.hotels en un departamento de cuento de hadas 🧚‍♀️ Conocimos rio correntoso y bahia brava, almorzamos en el resfaurante Renacer en el centro por $15800 en total. Volvimos a disfrutar de las cabañas, su pileta climatizada y cocinarnos algo rico para cenar ❤️ Déjenme en comentarios que les gustaría saber o ver✈️",1008,          ,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Moderate or heavy snow showers,-0.9,2.7,-4.9,3.7,2.98,80,8.3,18.0,07:45 AM,07:39 PM,2024-04-22 19:09
2024-01-11,salttepper,"AKOL 🍗 El mejor restaurante de Villa La Angostura ubicado dentro de un barrio náutico 📍 Blvd. Quetrihue 488, Villa La Angostura 🌞 🌙 Martes a sábados ✉️ Reservas por WhatsApp o Instagram",177100,,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Sunny,14.1,22.7,8.1,0.0,0.0,53,10.0,22.0,06:28 AM,09:20 PM,2024-04-22 19:05
2024-03-10,gabrielcris23,Bahia brava - Villa la angostura.#sur #patagoniaargentina #patagonia,597,#sur #patagoniaargentina #patagonia ,bahia_brava,"Villa La Angostura, AR",-40.78,-71.66,Cloudy,10.7,17.2,5.4,0.11,0.0,72,10.0,25.9,07:39 AM,08:13 PM,2024-04-22 19:03
2023-08-28,viaje.docepatas,"Unos mates a orillas de Bahia Brava, Villa La Angostura 🧉🇦🇷❤️ #noesporpresumir",830,#noesporpresumir       ,bahia_brava,"Villa La Angostura, AR",-40.78,-71.66,Light snow showers,2.3,3.7,-1.7,17.1,6.38,87,8.1,22.7,08:17 AM,07:19 PM,2024-04-22 19:08
2023-08-20,noemicardozo60,MUELLE BAHIA BRAVA. VILLA LA ANGOSTURA,8309,,bahia_brava,"Villa La Angostura, AR",-40.78,-71.66,Moderate or heavy rain shower,1.5,3.8,-1.1,42.65,13.22,97,3.9,10.1,08:29 AM,07:11 PM,2024-04-22 19:08
2024-02-19,camiaraoz10,Villa La Angostura y sus playitas🤩🤩 📍Playa Brazo Última Esperanza 📍Lago espejo 📍Lago correntoso 📍Bahia brava,628,     ,bahia_brava,"Villa La Angostura, AR",-40.78,-71.66,Sunny,19.6,27.9,12.7,0.0,0.0,44,10.0,14.0,07:16 AM,08:44 PM,2024-04-22 19:02
2023-10-20,sofibertola_,"Full day en villa la angostura🍃 Lugares imperdibles para conocer: - Ruta de los 7 lagos (rio correntoso, lago espejo, ruca malen) - Cascada rio bonito - Bahia brava - Bosque de arrayanes - Cerro bayo - Playa bonita - Cafeteria Antibes (increible lugar para desayuar o merendar)",906,    ,bahia_brava,"Villa La Angostura, AR",-40.78,-71.66,Overcast,10.8,17.0,5.3,0.0,0.0,58,10.0,14.8,06:51 AM,08:13 PM,2024-04-22 19:06
2024-04-04,celeraiteri,"Lugares que recorrimos en 5 dias : •Cascada de los duendes •Lago Gutierrez •Hamburgueseria Weiss (HIPER RECOMENDAMOS) •Villa Traful •Villa la angostura (Bahia Brava) •El Bolson (caminata del rio azul “El paraiso” de 45 min de duracion) •Circuito chico, Colonia Suiza •Refugio Patagonia 24.7 •Centro de BRC❤️",721,        ,bahia_brava,"Villa La Angostura, AR",-40.78,-71.66,Light drizzle,6.6,8.4,5.3,2.24,0.0,92,9.0,23.8,08:06 AM,07:33 PM,2024-04-22 19:00
2024-01-17,agusseju,2 dias en villa la angostura #elsur #patagoniaargentina,804,#elsur #patagoniaargentina        ,bahia_brava,"Villa La Angostura, AR",-40.78,-71.66,Overcast,15.0,23.4,8.7,0.0,0.0,56,10.0,31.0,06:35 AM,09:18 PM,2024-04-22 19:05
